customer_id,first_name,customer_segment,district_location,join_date
28411,Nasrin Mohammed Das,Premium,Dhaka,2020-11-19
214,Mim,Regular,Dhaka,2020-08-24
14021,Rozina Ferdous Dewan,New,Chittagong,2020-09-05
35213,Ulfat Miah,Premium,Australia,2020-01-12
11191,Iqbal Rony Bhuiyan,Regular,Chittagong,2020-12-04
30856,Sohel Paul,Regular,Dhaka,2020-02-05
35175,Jamal Sen,Regular,Dhaka,2020-02-09
7754,Munaza Halder,Corporate,Dhaka,2020-02-21
33126,Opu Hossain Haque,Regular,Germany,2020-04-25
20549,Kamal Mondal,New,Dhaka,2021-06-28
44155,Gias Rony Uddin,Regular,Dhaka,2020-07-15
36669,Qashem Karim,Regular,Dhaka,2022-08-07
38410,Sultana Patwary,New,Chittagong,2020-04-28
32492,Mosharaf Basak,New,Dhaka,2020-01-27
23968,Taslima Begum Khan,Regular,Dhaka,2020-09-22
45307,Shirin Nazia,Corporate,Dhaka,2020-04-08
25740,Babul Bepari Hasan,New,Dhaka,2021-09-29
407,Md. Ayewob Hasan,Corporate,Dhaka,2020-06-05
22325,Jashim Karim,New,Dhaka,2021-01-30
1979,Kazi Hassan,Regular,Dhaka,2020-02-17
42902,Chy Sani,Regular,Dhaka,2020-11-02
38205,Donald Bhat,Corporate,Dhaka,2021-03-29
7736,Vikash Amin,Regular,Chittagong,2020-01-23
33017,Arman Rizwan,New,Dhaka,2020-03-21
43544,Razia Parvin,Regular,Dhaka,2021-02-16
45629,Brandon Williams,Regular,Dhaka,2020-01-08
12728,Tisha Banerjee,Regular,Dhaka,2020-11-03
36838,Hasina Haque,Regular,Dhaka,2020-01-01
31312,Shahana Roy,Premium,Chittagong,2020-08-21
7052,Sarika Jahan,Regular,Dhaka,2020-06-01
33448,Jakir Sharif,Regular,Sylhet,2020-02-22
11837,Mokles Bibi Khatun,New,Dhaka,2020-05-18
19607,Zia Khondokar,Regular,Dhaka,2020-08-19
28241,Nadia Nahar,Regular,Sylhet,2020-04-26
36411,Ruth Thomas,Regular,Dhaka,2022-05-17
36552,Hasina Saha,Regular,Dhaka,2020-07-04
20255,Brian Walker,Regular,UAE,2020-02-14
3389,Gazi Mondal,New,Dhaka,2020-07-19
47583,Ruba Chatterjee,New,Sylhet,2022-05-23
3901,Najma Dey,Regular,Chittagong,2021-02-27
33778,Sadia Chowdhury Ali,New,Dhaka,2021-03-02
32127,Syed Biplob Chatterjee,Regular,Dhaka,2020-05-22
14222,Shuvo Sarker,Regular,Dhaka,2020-01-11
10527,Mst. Akhter Sheikh,New,Dhaka,2020-07-31
24528,Khorshed Haider,Regular,Dhaka,2020-01-23
47532,Nasir Nahar,Regular,Dhaka,2020-06-09
26200,Biplob Bhowmik Basak,New,Chittagong,2020-06-01
924,Chandan Halim,Regular,Dhaka,2020-11-25
10926,Monir Patwary,Premium,Dhaka,2020-01-04
43666,Jannat Chowdhury Basak,New,Dhaka,2020-11-13
20935,Nancy Hall,New,Germany,2020-04-14
6914,Mahzabin Majumdar,Regular,Dhaka,2020-04-28
23229,Mokles Noyon Chatterjee,Regular,Dhaka,2020-04-10
33471,Bakhtiar Khan,Regular,Dhaka,2022-01-17
8449,Ismail Siddique,Regular,Dhaka,2020-10-10
45406,Shuvo Sarker Chakraborty,Regular,Chittagong,2020-02-08
16416,Abu Dewan,New,Khulna,2022-01-08
17309,Keya Sheikh Jahan,New,Khulna,2021-01-26
10220,Kohinoor Paul,Regular,Dhaka,2020-01-21
34352,Nurjahan Ahmed Sarkar,Regular,Dhaka,2020-04-12
34236,Palash Debnath Begum,New,Chittagong,2020-03-21
42957,Sabita Sultana,Corporate,Dhaka,2020-03-08
41730,Owais Dey,New,Dhaka,2020-09-20
37641,Habib Chowdhury,Regular,Dhaka,2021-04-04
23177,Naim Hasan Dewan,New,Dhaka,2021-03-07
22047,Rajesh Allen,Premium,Singapore,2020-02-27
44511,Abdul Jahan,Regular,Dhaka,2020-03-20
17139,Meena Davis,New,India,2020-04-04
8794,Liton Rakib Jahan,Regular,Dhaka,2020-04-09
5848,Borsha Roy,Regular,Dhaka,2021-04-03
20031,Aziz Zahir Ali,Regular,Dhaka,2020-04-06
34900,Shuvo Momin Miah,Regular,Chittagong,2020-09-23
42664,Joseph Gupta,Premium,Dhaka,2020-04-25
43507,Elias Banerjee,Corporate,Dhaka,2020-02-08
49658,Sakib Uddin,New,Chittagong,2020-08-06
14031,Farjana Sohel Akhter,Regular,Dhaka,2021-09-16
9080,Maksuda Tariq Sikder,Regular,Chittagong,2022-08-13
27229,Hanif Sen,Regular,Rangpur,2020-05-16
12976,Nargis Jahan,Regular,Dhaka,2022-01-01
28184,Sheikh Paul Patwary,Regular,Dhaka,2020-01-23
37140,Rony Abdul Chatterjee,Regular,Dhaka,2021-03-08
10931,Rony Dutta,Regular,Dhaka,2021-11-20
34549,Jason Sharma,Regular,Chittagong,2020-03-08
19192,Jacob Reddy,Premium,UK,2020-08-28
43276,Pritam Halder,Regular,Dhaka,2020-05-10
34241,Bijoy Parvin,Premium,Sylhet,2020-08-01
29440,Labib Roy Chowdhury,New,Dhaka,2020-08-27
19368,Faruk Sarker,Premium,Chittagong,2020-05-25
26779,Rubel Sarker,Corporate,Australia,2020-08-21
47456,Nicholas Rodriguez,Regular,Dhaka,2020-04-01
35141,Deborah Smith,Regular,Chittagong,2021-04-28
4091,Ibrahim Barman,Regular,Sylhet,2020-05-23
28305,Sharmin Mridha,Premium,Dhaka,2020-09-06
20199,Paul King,Regular,France,2020-11-03
20008,Zahir Jashim Parvin,Regular,Chittagong,2021-10-22
40096,Sanju Bhuiyan,Regular,Rajshahi,2020-10-10
19785,Shabnam Rahman,New,Dhaka,2020-02-02
37150,Anwara Talukder,Corporate,Dhaka,2021-02-21
49739,Sharifa Paul,Regular,Dhaka,2020-03-19
1875,Ashique Kabir,Regular,Dhaka,2021-03-01
46698,Neha Walker,New,Dhaka,2020-11-25
8843,Mahbub Ferdous,Premium,Dhaka,2020-03-23
24008,Jamal Yeasmin,Regular,Chittagong,2020-05-02
48969,Mahira,Regular,Dhaka,2022-03-06
15982,Biplob Mia,Regular,Sylhet,2022-06-01
2400,Subarna Chatterjee,New,Dhaka,2020-05-25
19885,Kohinoor Ghosh,Regular,Dhaka,2020-08-10
40507,Fatema Islam Nahar,Corporate,Chittagong,2020-03-20
34614,Biplob Rakib Sikder,Regular,Chittagong,2020-05-15
38591,Gafur Bandyopadhyay,Regular,Khulna,2020-01-27
30413,Afroza Momin Bhuiyan,New,Dhaka,2020-07-28
36676,Scott Shah,New,Dhaka,2021-06-16
39560,Elma Haque,Regular,Dhaka,2020-10-14
25956,Hridoy Chatterjee Kazi,Corporate,Dhaka,2020-02-17
8010,Farzana Akter,New,Dhaka,2021-01-15
7025,Kabir Rashid,New,Dhaka,2020-09-13
18010,Patrick Clark,New,Singapore,2020-01-07
44193,Nusrat Kazi,Regular,Dhaka,2020-07-09
12458,Rony Akter Ghosh,Regular,Dhaka,2020-04-22
47006,Masud Ferdous,Regular,USA,2021-05-18
12821,Monira Begum,Regular,Chittagong,2021-10-06
44980,Bilquis Sarkar,New,Dhaka,2021-03-27
5892,Rafia Guha,Regular,Dhaka,2020-01-04
34584,Gary Iyer,Premium,Dhaka,2020-10-11
34976,Rony Akter,Corporate,Chittagong,2020-05-20
10142,Rubina Miah,New,Dhaka,2020-03-20
43209,Kamrunnahar Shah,New,Dhaka,2020-02-28
17940,Jashim Ganguly,Regular,Chittagong,2023-01-27
742,Qutub Zaman,Regular,Dhaka,2020-08-14
27856,Atiya Begum,Regular,Germany,2021-01-19
3375,Sumaiya Sen,Regular,Dhaka,2020-12-10
6197,Ashima Guha,New,Dhaka,2020-11-29
42410,Ripon Banerjee Kazi,Regular,Dhaka,2021-01-21
42473,Enam Hasan,New,Dhaka,2022-01-19
23950,Zia Das,Premium,Dhaka,2020-01-04
44851,Rifat Chowdhury,New,Dhaka,2020-04-07
17771,Delwar Khondokar,Regular,Dhaka,2021-03-25
4041,Jahangir Ahmed,Regular,Dhaka,2020-11-05
28334,Abu Zia Patwary,Regular,Dhaka,2022-01-12
27613,Mitu Sikder,Regular,Dhaka,2021-02-04
26202,Sanjida Khatun,New,France,2020-02-25
25803,Shahid Mia,Regular,Dhaka,2020-07-04
6481,Farhana Islam,Premium,Dhaka,2020-08-15
45309,Jannat Gazi,Regular,Chittagong,2020-04-25
47367,Monir Sarker,Regular,Dhaka,2022-06-11
31109,Richard Lee,Regular,Chittagong,2020-08-16
17582,Parvin Sarker Mollah,Regular,Dhaka,2020-02-27
36745,Dilara Dutta,Corporate,Dhaka,2023-04-15
29530,Junaid Mahmud,Regular,Chittagong,2020-04-26
9420,Selim Khatun,Premium,Chittagong,2020-09-21
26155,Firoz Zaman,Regular,Dhaka,2020-12-30
43130,Opu Rashid,New,Dhaka,2023-10-07
25011,Jillur Rahman,Regular,Dhaka,2020-01-25
16500,Samuel Wright,Regular,Australia,2020-03-12
31954,Sultana Chakraborty Akter,Regular,Dhaka,2020-04-24
49324,Priya Anderson,Regular,Dhaka,2021-12-24
20368,Gias Sultana,Premium,Chittagong,2020-02-29
15276,Deborah Harris,Regular,India,2020-07-25
20021,Opu Talukder,New,Dhaka,2021-09-05
35059,Akash Bhuiyan,Regular,Dhaka,2020-10-22
38958,Anjali Miller,New,Australia,2020-03-27
7029,Varun Amin,Regular,Sylhet,2020-10-15
26870,Enam Al Talukder,New,Dhaka,2020-04-25
16544,Sabina Nahar,Regular,Dhaka,2020-09-09
42999,Pintu Rani,Regular,Chittagong,2020-01-01
8459,Munaza Majumdar,Regular,Khulna,2020-05-03
25745,Larry Wright,Regular,Dhaka,2022-03-28
26742,Afsari Yasmin,Regular,Dhaka,2020-05-28
7582,Mst. Suraiya Yesmin,New,Dhaka,2021-01-21
36166,Ripon Bhowmik Debnath,Corporate,Dhaka,2020-05-19
23339,Delwar Das Miah,Regular,Sylhet,2021-01-15
29334,Irin Yasmin,New,Dhaka,2020-12-12
35929,Anwara Mridha,Premium,Chittagong,2020-05-18
20963,Linda Nelson,Regular,USA,2020-05-31
44501,Shahana Hridoy Hasan,Regular,Dhaka,2020-01-31
27674,Al Haque,New,Dhaka,2020-02-14
4948,Anupama Sultana,New,Chittagong,2021-08-10
12126,Sajid Khondokar,Regular,Dhaka,2020-05-29
46428,Reza Rakib Haque,New,Chittagong,2020-07-28
3457,Diba Sen,Regular,Dhaka,2020-06-11
33220,Mintu Rashid,New,Sylhet,2020-03-09
13967,Anthony Anderson,Regular,Australia,2020-08-16
9722,Mary Robinson,Premium,UK,2021-09-02
35108,Al Sultana Ali,Corporate,Dhaka,2021-06-16
46521,Sentu Ali,Premium,Dhaka,2021-09-29
20803,Elizabeth Wright,Regular,Germany,2022-06-07
48432,Wahid Ahmed,Regular,Dhaka,2020-05-14
25821,Mahbub,Regular,Dhaka,2020-05-02
30262,Kamran Bhuiyan,Regular,Dhaka,2020-07-19
2814,Khaled Haque,Regular,Dhaka,2020-07-03
9960,Sabina Roy,New,Dhaka,2020-02-24
39954,Owais Paul,Premium,Chittagong,2022-02-24
16888,Roksana Bhowmik Rashid,New,Dhaka,2020-06-10
29644,Nilufa Khanam,Regular,Dhaka,2020-01-16
9812,Tanvir Ganguly,Regular,Dhaka,2022-02-12
30199,Bilquis Nahar,Regular,Chittagong,2020-03-18
7020,Babor Habib,Premium,Dhaka,2020-04-16
30489,Rehana Majumdar,Regular,Chittagong,2020-02-09
23341,Tanjina Yeasmin,Regular,Chittagong,2020-06-21
12050,Runa Bepari,New,Dhaka,2020-12-27
34782,Bijoy Faruk Sarker,Regular,Dhaka,2022-10-16
42675,Selim Sarkar,New,Germany,2020-10-07
22907,Scott Reddy,Regular,USA,2020-03-28
7320,Shahinur Akter Tuli,Premium,Chittagong,2020-03-08
20077,Liton Kamal Bhowmik,Premium,Chittagong,2021-02-28
8781,Sheikh Rahman Rani,Regular,Dhaka,2021-12-31
20846,Aziz Basak,Regular,Dhaka,2021-05-16
32861,Farjana Paul,Corporate,Chittagong,2020-01-21
26751,Shaila Akter,Regular,Dhaka,2021-01-26
36842,Sharmin Sultana Mia,New,Dhaka,2020-09-27
5219,Walid Farooq,Regular,Dhaka,2020-02-28
5302,Kamal Majumder,Regular,Chittagong,2020-01-23
48436,Michael Hill,Regular,Dhaka,2020-02-05
48885,Kazi Rashid,New,France,2020-07-18
19070,Shirin Kazi Bhowmik,Regular,Dhaka,2020-01-28
46220,Shanu Haque,Regular,Chittagong,2020-04-21
40683,Tahmina Rintu Begum,Regular,Dhaka,2020-01-31
3360,Dron Majumder,New,Dhaka,2021-07-18
4691,Safwan Hossain,Corporate,Dhaka,2020-02-13
5060,Qaiser Mukherjee,Regular,Dhaka,2020-11-23
7271,Fariha Rahman,New,Dhaka,2020-01-06
30903,Sentu Yeasmin,Regular,Chittagong,2021-06-23
33595,Justin Williams,Regular,Dhaka,2020-09-23
41052,Shaon Sen,Regular,Dhaka,2020-04-17
15034,Priya Banerjee,Premium,Dhaka,2020-04-14
16210,Shaon Bhuiyan Karim,Regular,Dhaka,2020-11-22
34595,Shahana Ali,Premium,Dhaka,2020-02-19
33445,Enam Das Majumder,Regular,Chittagong,2020-01-13
5858,Pial Sani,New,Chittagong,2020-11-01
3294,Mumtaz Paul,Regular,Dhaka,2022-09-07
5180,Dulal Roychoudhury,Regular,Dhaka,2021-07-28
39446,Romana Roy,New,Dhaka,2022-07-19
26510,Gias Rashid Mridha,Regular,Australia,2020-11-03
19105,Michael Young,Regular,Canada,2021-03-14
48994,Sadek Nahar Biswas,Regular,Dhaka,2020-07-11
28888,Fariha Sultana,New,Dhaka,2021-01-25
27301,Edward Thomas,Regular,Dhaka,2021-07-31
46806,Fatema Debnath,New,USA,2021-10-27
46264,Raju Jahan,Regular,Germany,2021-11-09
38352,Samia Ali,Regular,Sylhet,2021-04-10
12405,Aleya Uddin,Regular,Dhaka,2020-03-18
26756,Elina Adhikari,Regular,Dhaka,2021-03-20
25311,Aminul Mondal,Regular,Germany,2020-05-02
29283,Rakib Haque Sikder,Regular,Dhaka,2020-03-29
12171,Siddiq Akhter Ganguly,Regular,Dhaka,2022-08-31
4965,Sajid Sani,New,Dhaka,2020-07-20
47970,Tasnia Tabassum Oritri,New,Dhaka,2020-07-02
12151,Mina Mollah,Premium,Dhaka,2020-07-06
17470,Noyon Yeasmin Ganguly,Premium,Chittagong,2020-01-12
43337,Habiba Prodhan,Regular,Chittagong,2020-08-19
2348,Lokman Bandyopadhyay,Regular,Dhaka,2020-05-04
33715,Kenneth Jones,Regular,Dhaka,2021-10-21
13199,Biplob Dutta,New,Dhaka,2020-06-21
30511,Anisa Sarker,New,Dhaka,2020-01-14
27334,Delwar Akter,Regular,Chittagong,2021-01-25
12637,Selim Mridha,New,Dhaka,2020-04-11
25355,Korim,Regular,Dhaka,2020-03-02
30125,Shuvo Gazi Debnath,Regular,Dhaka,2021-07-12
30271,Anjum Adhikari,Regular,Dhaka,2020-06-17
24974,Dorothy Reddy,New,Australia,2020-11-29
28513,Rakib Hasan,Regular,Dhaka,2021-03-30
43722,Sadia Abu Haider,New,Chittagong,2020-04-02
49293,Jannat Masud Alam,New,Dhaka,2022-05-09
43239,Jashim Mollah Alam,New,Dhaka,2021-02-08
46000,Kashif Shams,Premium,Dhaka,2021-10-27
7874,Enayet Bhuiyan,Regular,Dhaka,2020-05-10
18210,Pooja Young,Regular,Singapore,2021-03-16
28900,William Joshi,Regular,Dhaka,2022-03-23
7155,Jakir Hossain,New,Dhaka,2020-12-10
6800,Imtiaz Halim,Regular,Dhaka,2020-03-27
6407,Ambia Chatterjee,Regular,Sylhet,2021-01-27
30357,Mohammed Hossain Bepari,Corporate,Dhaka,2020-02-24
16190,Nurjahan Biplob Barman,Corporate,Dhaka,2020-10-01
35942,Parvin Paul Rahman,New,Dhaka,2020-02-15
3573,Giasuddin Hossain,Regular,Dhaka,2020-08-03
14248,Tanjina Alam Bibi,Regular,Dhaka,2022-01-05
21085,Neha Harris,New,India,2021-01-02
9355,Liza Sen Paul,New,Chittagong,2020-01-28
20243,Sakib Khatun,Premium,Dhaka,2020-01-03
49440,Maksuda Uddin,Regular,Dhaka,2023-02-01
20669,Nancy Reddy,New,Australia,2021-08-04
27982,Shamila Akter,New,Sylhet,2020-08-15
1855,Fahmida Mazumdar,Regular,Rangpur,2021-03-19
44196,Anwara Ali Hasan,Regular,Sylhet,2020-07-05
6958,Nilufa Khanam,New,Chittagong,2020-01-27
6042,Yaseen Sani,Corporate,Dhaka,2020-04-18
46012,Sanjida Guha,New,Dhaka,2020-10-25
11366,Nusrat Parvin,New,Dhaka,2020-07-24
25266,Md. Jahid Hasan,Regular,Dhaka,2022-06-29
36629,Mila Jahan,New,Chittagong,2021-11-04
37943,Nasir Chowdhury,Regular,Dhaka,2020-05-30
8071,Yaqub Shah,New,Dhaka,2020-10-10
5893,Masud Sen,New,Dhaka,2020-02-09
7664,Imran Hasan,Regular,Dhaka,2021-06-20
1513,Prity Sultana,Corporate,Dhaka,2020-07-14
45927,Shaon Rubel Bhowmik,New,Dhaka,2020-06-20
20284,Syed Ghosh,Corporate,Dhaka,2020-01-25
34299,Hridoy Rani Akhter,Regular,Dhaka,2021-06-25
44419,Khaleda Rafiq Basak,New,Dhaka,2021-02-28
27529,Shabnam Hossain,Regular,Dhaka,2020-04-24
21412,Barbara Desai,Regular,UAE,2020-05-25
37308,Shafiq Rony Chakraborty,New,France,2020-12-16
537,Labiba Rahman,Regular,Dhaka,2022-01-31
43267,Mohammed Rahman,New,Dhaka,2022-02-17
1194,Shamima Chatterjee,Regular,Dhaka,2022-09-22
7405,Mst. Afrin Akter Shimu,Regular,Dhaka,2021-02-19
33097,Md. Arif,Premium,Dhaka,2020-12-06
39913,Shiblu Biswas,Regular,USA,2022-03-28
1698,Jui Khatun,Regular,Khulna,2020-01-18
35372,Mohammed Mokles Dewan,New,Chittagong,2021-07-18
5712,Rifa Reza,Regular,Dhaka,2020-04-01
37722,Firoz Banerjee,New,Dhaka,2020-09-15
3187,Anjuman Mia,Premium,Dhaka,2022-11-22
7115,Tania Akter,Regular,Dhaka,2020-04-09
8461,Varun Nasir,Premium,Rajshahi,2020-03-10
18481,Khorshed Dutta,Regular,Dhaka,2020-01-01
43979,Jannat Sen Chatterjee,Regular,Dhaka,2020-06-13
17567,Rubel Ghosh,Regular,Dhaka,2020-06-26
20033,Jahid Rafiq Basak,Regular,Dhaka,2020-03-09
7338,Mabia Afrin,Regular,Sylhet,2021-06-09
25083,Momtaz Mosharaf Basak,Regular,Dhaka,2021-10-03
24681,Sabiha Sikder,Regular,Dhaka,2020-03-08
5856,Tariq Roy,New,Dhaka,2020-03-27
46659,Bilquis Begum Begum,Regular,Singapore,2020-03-26
3177,Arafat Das,Regular,Chittagong,2020-02-24
35889,Hanif Nahar Hasan,Regular,Sylhet,2020-07-30
6054,Varun Banerjee,Regular,Dhaka,2022-01-04
36683,Barbara Scott,Regular,Rajshahi,2020-04-17
45344,Tuhin Iqbal,Corporate,Dhaka,2022-05-27
21583,Susan Desai,Corporate,Singapore,2020-08-01
35957,Farhan Ali,Regular,Sylhet,2020-08-21
11285,Tahmina Haider,Regular,Dhaka,2020-05-15
29769,Shuvo Saha Debnath,Regular,Dhaka,2020-09-18
14788,Bilquis Rashid,New,Dhaka,2020-02-16
262,Koli Khatun,Regular,Dhaka,2020-08-22
3038,Minu Das,Premium,Dhaka,2021-06-11
40845,Khadija Paul,Regular,Dhaka,2020-02-26
42504,Fatema Sheikh,Premium,UAE,2021-01-07
18769,Fatema Kazi Debnath,Regular,Dhaka,2020-04-23
17810,Sadia Khatun Karim,Regular,Sylhet,2021-10-24
20662,Syed Ganguly,Premium,Dhaka,2020-01-19
37355,Sentu Debnath Sikder,Regular,Dhaka,2020-09-17
8372,Babar Guha,Regular,Dhaka,2020-05-04
36739,Ritu Ahmed Banerjee,New,Dhaka,2021-03-02
33851,Obaid Amin,Regular,Sylhet,2020-10-18
25683,Diba Chowdhury,Regular,Dhaka,2020-05-10
26571,Liton Uddin Akhter,Regular,Dhaka,2020-10-22
24071,Sunil Lopez,Regular,Australia,2021-02-15
49648,Sadek Chowdhury Parvin,Regular,Dhaka,2022-09-11
12291,Sanju Chowdhury Dutta,New,Sylhet,2020-03-02
42851,Sandra Moore,Regular,UAE,2020-06-10
14464,Mithu Khatun,Regular,Dhaka,2020-05-04
31773,Asif Ferdous,Regular,Singapore,2022-10-04
38614,Debra Kumar,New,Rajshahi,2020-02-22
48356,Farjana Haque Ferdous,Regular,Dhaka,2022-04-30
47660,Reema Nazia,Regular,Dhaka,2020-07-24
31527,Kazi Saha,Premium,Dhaka,2020-01-14
25978,Rokeya Nahar Bibi,Regular,Dhaka,2020-09-17
37411,Khorshed Mia,Premium,Dhaka,2023-03-05
4941,Dhrubo Roy,New,Dhaka,2020-07-10
13391,Ripon Pintu Bepari,Regular,Chittagong,2020-01-17
23489,Al Begum Bhowmik,Regular,Chittagong,2020-01-11
23615,Ripon Chakraborty,Premium,Dhaka,2022-06-26
31117,Ahsan Rubel Begum,Regular,Dhaka,2020-01-10
41377,Nargis Dutta,Regular,Dhaka,2021-04-19
31472,Amit Menon,Regular,Sylhet,2020-07-04
10432,Rubina Tariq Sen,Regular,Rangpur,2022-03-23
34968,Akash Hasan,Regular,Khulna,2021-04-22
9871,Sahana Rubel Ganguly,New,Dhaka,2023-02-15
29379,Aleya Mridha,Regular,Dhaka,2021-10-05
30297,Iqbal Chatterjee,Regular,Dhaka,2020-05-11
29634,Sinthia Sen,New,Dhaka,2021-12-21
40958,Barun Barman,Regular,Chittagong,2021-03-04
15860,Ritu Monir Islam,Regular,Khulna,2020-09-10
15782,Delwar Kazi Basak,Premium,Dhaka,2021-11-27
21762,Selim Barman Debnath,Regular,Chittagong,2021-05-26
6643,Purnima Shah,Regular,Dhaka,2020-02-26
46910,Karim Khan,Regular,Dhaka,2020-03-02
48452,Bappi Debnath Mollah,Regular,Dhaka,2020-01-08
43250,Suman Rashid,Regular,Dhaka,2021-01-16
35646,Ayesha Sen,Regular,France,2020-06-18
2173,Baki Shakil,Premium,Chittagong,2021-02-16
20781,Dina Dutta,Premium,Dhaka,2020-03-02
37765,Salina Haque,Corporate,Dhaka,2020-11-15
6352,Mahbub Mondal,Regular,Dhaka,2020-08-18
30105,Kashif Nasir,Regular,Chittagong,2021-02-19
30395,Barek Kazi Rani,Regular,Dhaka,2021-08-08
40598,Diba Majumdar,Regular,Dhaka,2020-01-11
23370,Mitu Ripon Sarker,Regular,Dhaka,2020-08-18
46845,Abdul Das,New,Dhaka,2020-08-05
36973,Sanju Chowdhury Saha,Regular,Dhaka,2020-03-11
5194,Ahsan Bhuiyan,Regular,Dhaka,2020-12-13
2084,Afzal Majumdar,Premium,Dhaka,2022-07-06
36227,Tisha Mridha,New,Chittagong,2021-01-06
2960,Nurjahan Sultana,New,Dhaka,2022-02-10
14832,Tisha Khan,Regular,Dhaka,2020-07-06
49617,Mokles Tanvir Mia,Corporate,Dhaka,2020-01-14
39867,Jahid Sarkar Akhter,Regular,Dhaka,2022-02-08
38740,Mintu Banerjee,Premium,Chittagong,2020-12-12
31414,Baha Dey,Premium,Dhaka,2020-05-08
20608,Shaon Biplob Saha,Regular,Dhaka,2021-05-20
33891,Morshed Roy Chowdhury,Regular,USA,2021-07-13
30731,Hasnain Bari,Regular,Dhaka,2022-03-20
3658,Aklima Reza,Regular,Chittagong,2020-09-08
43100,Raymond Scott,Regular,USA,2020-05-09
1627,Sadia Dutta,New,Dhaka,2020-06-06
2077,Aleya Dutta,Regular,Dhaka,2020-06-14
16118,Abu Akhter,New,Chittagong,2020-01-13
45908,Rifat Chatterjee Haque,Regular,Dhaka,2020-08-11
35625,Sadek Joy Rahman,New,Dhaka,2021-04-17
47609,Carol Reddy,Regular,Dhaka,2020-06-09
74,Rahi Akter,Premium,Dhaka,2020-03-19
167,Faysal,New,Chittagong,2020-07-13
44806,Miraj Chakraborty,Corporate,Dhaka,2022-02-28
7649,Adnan Mahmud,Premium,Chittagong,2022-03-19
2098,Rekha Mondal,Premium,Dhaka,2020-12-26
38876,Enam Chatterjee,Regular,Dhaka,2021-06-09
11025,Tariq Rifat Alam,Regular,Khulna,2020-11-18
